Badge,Action,Time
747989,Exit,2024-03-16T03:37:37+00:00
485912,Enter,2024-03-15T01:07:54+00:00
485912,Exit,2024-03-15T01:46:54+00:00
106819,Enter,2024-03-15T22:51:02+00:00
106819,Exit,2024-03-16T01:06:02+00:00
165881,Enter,2024-03-15T16:32:51+00:00
165881,Exit,2024-03-15T17:54:51+00:00
663652,Enter,2024-03-15T08:58:21+00:00
663652,Exit,2024-03-15T11:20:21+00:00
236974,Enter,2024-03-15T19:36:16+00:00
236974,Exit,2024-03-15T20:43:16+00:00
334254,Enter,2024-03-15T23:40:29+00:00
334254,Exit,2024-03-16T01:29:29+00:00
702906,Enter,2024-03-15T01:00:45+00:00
702906,Exit,2024-03-15T03:51:45+00:00
857714,Enter,2024-03-15T17:08:06+00:00
857714,Exit,2024-03-15T18:10:06+00:00
256377,Enter,2024-03-15T09:47:07+00:00
256377,Exit,2024-03-15T13:46:07+00:00
553177,Enter,2024-03-15T03:25:45+00:00
553177,Exit,2024-03-15T08:04:45+00:00
641434,Enter,2024-03-15T20:30:08+00:00
641434,Exit,2024-03-16T00:54:08+00:00
152269,Enter,2024-03-15T12:57:15+00:00
152269,Exit,2024-03-15T14:43:15+00:00
909381,Enter,2024-03-15T13:19:24+00:00
909381,Exit,2024-03-15T14:25:24+00:00
516622,Enter,2024-03-15T23:39:40+00:00
516622,Exit,2024-03-16T03:31:40+00:00
385021,Enter,2024-03-15T21:37:48+00:00
385021,Exit,2024-03-16T00:48:48+00:00
295821,Enter,2024-03-15T01:54:37+00:00
295821,Exit,2024-03-15T06:18:37+00:00
605093,Enter,2024-03-15T20:48:32+00:00
605093,Exit,2024-03-16T01:33:32+00:00
840859,Enter,2024-03-15T05:20:35+00:00
840859,Exit,2024-03-15T06:43:35+00:00
178874,Enter,2024-03-15T02:38:18+00:00
178874,Exit,2024-03-15T05:46:18+00:00
641474,Enter,2024-03-15T04:39:39+00:00
641474,Exit,2024-03-15T08:50:39+00:00
590892,Enter,2024-03-15T16:39:39+00:00
590892,Exit,2024-03-15T20:01:39+00:00
795476,Enter,2024-03-15T09:35:58+00:00
795476,Exit,2024-03-15T13:18:58+00:00
285289,Enter,2024-03-15T09:55:05+00:00
285289,Exit,2024-03-15T10:26:05+00:00
899732,Enter,2024-03-15T11:19:11+00:00
899732,Exit,2024-03-15T12:25:11+00:00
139973,Enter,2024-03-15T23:28:19+00:00
139973,Exit,2024-03-16T03:28:19+00:00
161414,Enter,2024-03-15T23:42:49+00:00
161414,Exit,2024-03-16T02:27:49+00:00
246748,Enter,2024-03-15T18:01:28+00:00
246748,Exit,2024-03-15T18:59:28+00:00
872323,Enter,2024-03-15T12:56:01+00:00
872323,Exit,2024-03-15T13:52:01+00:00
940451,Enter,2024-03-15T17:41:30+00:00
940451,Exit,2024-03-15T20:09:30+00:00
658950,Enter,2024-03-15T07:40:53+00:00
658950,Exit,2024-03-15T12:19:53+00:00
778158,Enter,2024-03-15T05:38:42+00:00
778158,Exit,2024-03-15T09:23:42+00:00
940550,Enter,2024-03-15T07:48:30+00:00
940550,Exit,2024-03-15T12:16:30+00:00
160771,Enter,2024-03-15T16:57:47+00:00
160771,Exit,2024-03-15T21:04:47+00:00
085552,Enter,2024-03-15T04:45:45+00:00
085552,Exit,2024-03-15T06:37:45+00:00
947564,Enter,2024-03-15T03:30:39+00:00
947564,Exit,2024-03-15T04:03:39+00:00
010615,Enter,2024-03-15T07:04:56+00:00
010615,Exit,2024-03-15T10:33:56+00:00
034727,Enter,2024-03-15T05:26:09+00:00
034727,Exit,2024-03-15T10:24:09+00:00
607425,Enter,2024-03-15T21:20:30+00:00
607425,Exit,2024-03-16T01:16:30+00:00
307638,Enter,2024-03-15T23:58:07+00:00
307638,Exit,2024-03-16T00:55:07+00:00
234862,Enter,2024-03-15T10:14:33+00:00
234862,Exit,2024-03-15T14:39:33+00:00
644990,Enter,2024-03-15T08:23:01+00:00
644990,Exit,2024-03-15T12:00:01+00:00
730764,Enter,2024-03-15T02:00:12+00:00
730764,Exit,2024-03-15T03:19:12+00:00
114232,Enter,2024-03-15T15:14:10+00:00
114232,Exit,2024-03-15T17:55:10+00:00
703840,Enter,2024-03-15T07:12:39+00:00
703840,Exit,2024-03-15T09:17:39+00:00
542001,Enter,2024-03-15T18:18:46+00:00
542001,Exit,2024-03-15T20:14:46+00:00
866814,Enter,2024-03-15T17:46:55+00:00
866814,Exit,2024-03-15T21:07:55+00:00
814185,Enter,2024-03-15T22:35:18+00:00
814185,Exit,2024-03-16T01:23:18+00:00
053991,Enter,2024-03-15T15:26:44+00:00
053991,Exit,2024-03-15T19:49:44+00:00
631067,Enter,2024-03-15T01:06:34+00:00
631067,Exit,2024-03-15T03:44:34+00:00
257021,Enter,2024-03-15T06:36:20+00:00
257021,Exit,2024-03-15T09:02:20+00:00
902617,Enter,2024-03-15T01:00:29+00:00
902617,Exit,2024-03-15T02:54:29+00:00
699875,Enter,2024-03-15T13:04:24+00:00
699875,Exit,2024-03-15T15:46:24+00:00
166130,Enter,2024-03-15T12:33:28+00:00
166130,Exit,2024-03-15T15:36:28+00:00
598401,Enter,2024-03-15T11:29:03+00:00
598401,Exit,2024-03-15T12:49:03+00:00
539534,Enter,2024-03-15T07:47:26+00:00
539534,Exit,2024-03-15T10:50:26+00:00
537737,Enter,2024-03-15T23:42:44+00:00
537737,Exit,2024-03-16T02:22:44+00:00
725000,Enter,2024-03-15T21:28:40+00:00
725000,Exit,2024-03-15T22:24:40+00:00
068218,Enter,2024-03-15T11:59:49+00:00
068218,Exit,2024-03-15T16:23:49+00:00
456883,Enter,2024-03-15T08:35:16+00:00
456883,Exit,2024-03-15T11:38:16+00:00
396929,Enter,2024-03-15T21:55:09+00:00
396929,Exit,2024-03-16T00:40:09+00:00
387753,Enter,2024-03-15T09:36:20+00:00
387753,Exit,2024-03-15T10:52:20+00:00
201843,Enter,2024-03-15T10:59:29+00:00
201843,Exit,2024-03-15T13:18:29+00:00
024488,Enter,2024-03-15T14:55:08+00:00
024488,Exit,2024-03-15T16:51:08+00:00
768978,Enter,2024-03-15T18:40:35+00:00
768978,Exit,2024-03-15T21:18:35+00:00
221516,Enter,2024-03-15T02:29:15+00:00
221516,Exit,2024-03-15T06:54:15+00:00
281693,Enter,2024-03-15T05:59:13+00:00
281693,Exit,2024-03-15T10:10:13+00:00
389266,Enter,2024-03-15T00:44:44+00:00
389266,Exit,2024-03-15T04:37:44+00:00
483794,Enter,2024-03-15T00:49:36+00:00
483794,Exit,2024-03-15T02:51:36+00:00
805670,Enter,2024-03-15T09:14:19+00:00
805670,Exit,2024-03-15T13:17:19+00:00
652983,Enter,2024-03-15T23:38:25+00:00
652983,Exit,2024-03-16T00:20:25+00:00
992008,Enter,2024-03-15T19:37:14+00:00
992008,Exit,2024-03-15T22:08:14+00:00
679998,Enter,2024-03-15T09:31:56+00:00
679998,Exit,2024-03-15T13:48:56+00:00
525406,Enter,2024-03-15T14:33:57+00:00
525406,Exit,2024-03-15T18:29:57+00:00
518887,Enter,2024-03-15T04:49:44+00:00
518887,Exit,2024-03-15T07:28:44+00:00
470101,Enter,2024-03-15T18:27:43+00:00
470101,Exit,2024-03-15T20:14:43+00:00
628703,Enter,2024-03-15T00:36:08+00:00
628703,Exit,2024-03-15T03:27:08+00:00
341073,Enter,2024-03-15T00:51:24+00:00
341073,Exit,2024-03-15T01:53:24+00:00
453425,Enter,2024-03-15T17:02:12+00:00
453425,Exit,2024-03-15T21:47:12+00:00
017366,Enter,2024-03-15T04:43:36+00:00
017366,Exit,2024-03-15T08:40:36+00:00
588826,Enter,2024-03-15T19:57:02+00:00
588826,Exit,2024-03-15T20:31:02+00:00
026616,Enter,2024-03-15T03:32:53+00:00
026616,Exit,2024-03-15T05:31:53+00:00
836857,Enter,2024-03-15T07:34:55+00:00
836857,Exit,2024-03-15T11:44:55+00:00
188298,Enter,2024-03-15T16:54:08+00:00
188298,Exit,2024-03-15T17:50:08+00:00
996600,Enter,2024-03-15T17:54:58+00:00
996600,Exit,2024-03-15T19:01:58+00:00
295080,Enter,2024-03-15T18:22:01+00:00
295080,Exit,2024-03-15T19:10:01+00:00
953189,Enter,2024-03-15T23:27:02+00:00
953189,Exit,2024-03-16T03:34:02+00:00
017951,Enter,2024-03-15T23:10:23+00:00
017951,Exit,2024-03-16T04:04:23+00:00
064550,Enter,2024-03-15T01:30:30+00:00
064550,Exit,2024-03-15T05:00:30+00:00
600450,Enter,2024-03-15T14:58:39+00:00
600450,Exit,2024-03-15T17:07:39+00:00
950206,Enter,2024-03-15T03:02:59+00:00
950206,Exit,2024-03-15T04:54:59+00:00
932849,Enter,2024-03-15T19:54:46+00:00
932849,Exit,2024-03-15T21:29:46+00:00
848980,Enter,2024-03-15T14:47:28+00:00
848980,Exit,2024-03-15T15:55:28+00:00
675953,Enter,2024-03-15T05:02:53+00:00
675953,Exit,2024-03-15T09:36:53+00:00
268471,Enter,2024-03-15T04:29:29+00:00
268471,Exit,2024-03-15T08:40:29+00:00
504668,Enter,2024-03-15T05:46:13+00:00
504668,Exit,2024-03-15T09:52:13+00:00
989555,Enter,2024-03-15T10:10:21+00:00
989555,Exit,2024-03-15T13:27:21+00:00
649397,Enter,2024-03-15T09:51:47+00:00
649397,Exit,2024-03-15T14:24:47+00:00
738141,Enter,2024-03-15T22:21:51+00:00
738141,Exit,2024-03-16T02:27:51+00:00
508995,Enter,2024-03-15T17:42:15+00:00
508995,Exit,2024-03-15T19:16:15+00:00
255205,Enter,2024-03-15T23:31:34+00:00
255205,Exit,2024-03-16T02:47:34+00:00
508624,Enter,2024-03-15T14:29:18+00:00
508624,Exit,2024-03-15T15:59:18+00:00
486588,Enter,2024-03-15T14:03:16+00:00
486588,Exit,2024-03-15T18:50:16+00:00
642425,Enter,2024-03-15T01:37:36+00:00
642425,Exit,2024-03-15T05:30:36+00:00
349093,Enter,2024-03-15T11:44:58+00:00
349093,Exit,2024-03-15T14:15:58+00:00
035626,Enter,2024-03-15T16:02:45+00:00
035626,Exit,2024-03-15T17:41:45+00:00
356007,Enter,2024-03-15T22:54:48+00:00
356007,Exit,2024-03-16T01:39:48+00:00
317589,Enter,2024-03-15T20:08:01+00:00
317589,Exit,2024-03-15T21:21:01+00:00
774873,Enter,2024-03-15T22:58:25+00:00
774873,Exit,2024-03-16T00:18:25+00:00
374889,Enter,2024-03-15T23:04:47+00:00
374889,Exit,2024-03-16T02:42:47+00:00
927108,Enter,2024-03-15T19:09:06+00:00
927108,Exit,2024-03-15T22:12:06+00:00
227542,Enter,2024-03-15T00:32:15+00:00
227542,Exit,2024-03-15T03:41:15+00:00
572551,Enter,2024-03-15T12:10:17+00:00
572551,Exit,2024-03-15T15:21:17+00:00
574778,Enter,2024-03-15T13:26:02+00:00
574778,Exit,2024-03-15T16:29:02+00:00
634720,Enter,2024-03-15T06:53:41+00:00
634720,Exit,2024-03-15T08:18:41+00:00
417518,Enter,2024-03-15T00:11:02+00:00
417518,Exit,2024-03-15T04:39:02+00:00
201283,Enter,2024-03-15T22:13:54+00:00
201283,Exit,2024-03-16T02:54:54+00:00
640111,Enter,2024-03-15T09:01:05+00:00
640111,Exit,2024-03-15T13:36:05+00:00
933926,Enter,2024-03-15T14:43:53+00:00
933926,Exit,2024-03-15T17:02:53+00:00
376523,Enter,2024-03-15T16:15:49+00:00
376523,Exit,2024-03-15T18:43:49+00:00
533558,Enter,2024-03-15T02:24:09+00:00
533558,Exit,2024-03-15T06:50:09+00:00
459464,Enter,2024-03-15T19:35:37+00:00
459464,Exit,2024-03-15T22:05:37+00:00
013014,Enter,2024-03-15T14:07:24+00:00
013014,Exit,2024-03-15T17:02:24+00:00
264928,Enter,2024-03-15T15:30:31+00:00
264928,Exit,2024-03-15T20:09:31+00:00
023743,Enter,2024-03-15T09:46:03+00:00
023743,Exit,2024-03-15T12:58:03+00:00
281707,Enter,2024-03-15T23:18:23+00:00
281707,Exit,2024-03-16T01:08:23+00:00
160430,Enter,2024-03-15T18:27:04+00:00
160430,Exit,2024-03-15T19:03:04+00:00
502337,Enter,2024-03-15T07:18:15+00:00
502337,Exit,2024-03-15T10:17:15+00:00
580386,Enter,2024-03-15T04:02:34+00:00
580386,Exit,2024-03-15T06:31:34+00:00
954273,Enter,2024-03-15T05:56:28+00:00
954273,Exit,2024-03-15T09:02:28+00:00
964820,Enter,2024-03-15T23:02:47+00:00
964820,Exit,2024-03-16T01:12:47+00:00
088194,Enter,2024-03-15T16:32:22+00:00
088194,Exit,2024-03-15T21:14:22+00:00
744441,Enter,2024-03-15T19:51:15+00:00
744441,Exit,2024-03-15T23:05:15+00:00
760918,Enter,2024-03-15T21:25:05+00:00
760918,Exit,2024-03-16T01:40:05+00:00
494298,Enter,2024-03-15T14:50:43+00:00
494298,Exit,2024-03-15T16:57:43+00:00
253817,Enter,2024-03-15T03:01:00+00:00
253817,Exit,2024-03-15T07:58:00+00:00
386040,Enter,2024-03-15T08:43:52+00:00
386040,Exit,2024-03-15T11:41:52+00:00
504253,Enter,2024-03-15T12:17:40+00:00
504253,Exit,2024-03-15T14:04:40+00:00
978008,Enter,2024-03-15T01:26:13+00:00
978008,Exit,2024-03-15T04:42:13+00:00
786949,Enter,2024-03-15T23:56:41+00:00
786949,Exit,2024-03-16T01:30:41+00:00
747446,Enter,2024-03-15T22:25:09+00:00
747446,Exit,2024-03-16T00:10:09+00:00
266889,Enter,2024-03-15T16:01:45+00:00
266889,Exit,2024-03-15T19:50:45+00:00
392958,Enter,2024-03-15T09:42:19+00:00
392958,Exit,2024-03-15T12:05:19+00:00
788745,Enter,2024-03-15T11:17:15+00:00
788745,Exit,2024-03-15T14:51:15+00:00
442398,Enter,2024-03-15T11:05:21+00:00
442398,Exit,2024-03-15T14:01:21+00:00
307111,Enter,2024-03-15T06:36:43+00:00
307111,Exit,2024-03-15T10:04:43+00:00
361736,Enter,2024-03-15T18:27:50+00:00
361736,Exit,2024-03-15T19:27:50+00:00
704435,Enter,2024-03-15T23:42:58+00:00
704435,Exit,2024-03-16T01:03:58+00:00
565151,Enter,2024-03-15T02:55:36+00:00
565151,Exit,2024-03-15T05:09:36+00:00
043608,Enter,2024-03-15T05:37:05+00:00
043608,Exit,2024-03-15T09:56:05+00:00
164395,Enter,2024-03-15T15:34:23+00:00
164395,Exit,2024-03-15T17:17:23+00:00
176586,Enter,2024-03-15T22:18:19+00:00
176586,Exit,2024-03-16T01:56:19+00:00
556523,Enter,2024-03-15T14:34:30+00:00
556523,Exit,2024-03-15T15:05:30+00:00
882920,Enter,2024-03-15T08:53:56+00:00
882920,Exit,2024-03-15T10:30:56+00:00
732870,Enter,2024-03-15T23:42:49+00:00
732870,Exit,2024-03-16T04:05:49+00:00
463615,Enter,2024-03-15T22:27:29+00:00
463615,Exit,2024-03-16T01:57:29+00:00
604361,Enter,2024-03-15T17:33:27+00:00
604361,Exit,2024-03-15T22:05:27+00:00
390925,Enter,2024-03-15T08:17:14+00:00
390925,Exit,2024-03-15T12:05:14+00:00
068697,Enter,2024-03-15T13:58:52+00:00
068697,Exit,2024-03-15T18:26:52+00:00
668836,Enter,2024-03-15T11:27:17+00:00
668836,Exit,2024-03-15T13:29:17+00:00
572791,Enter,2024-03-15T08:24:06+00:00
572791,Exit,2024-03-15T10:03:06+00:00
246519,Enter,2024-03-15T00:00:59+00:00
246519,Exit,2024-03-15T02:11:59+00:00
528325,Enter,2024-03-15T18:59:43+00:00
528325,Exit,2024-03-15T21:20:43+00:00
095314,Enter,2024-03-15T21:28:57+00:00
095314,Exit,2024-03-15T23:52:57+00:00
598116,Enter,2024-03-15T01:31:32+00:00
598116,Exit,2024-03-15T05:01:32+00:00
395034,Enter,2024-03-15T06:37:41+00:00
395034,Exit,2024-03-15T08:32:41+00:00
638382,Enter,2024-03-15T20:09:55+00:00
638382,Exit,2024-03-15T23:25:55+00:00
588573,Enter,2024-03-15T06:01:15+00:00
588573,Exit,2024-03-15T09:59:15+00:00
427531,Enter,2024-03-15T00:17:05+00:00
427531,Exit,2024-03-15T02:04:05+00:00
856410,Enter,2024-03-15T08:20:42+00:00
856410,Exit,2024-03-15T12:49:42+00:00
193018,Enter,2024-03-15T21:09:20+00:00
193018,Exit,2024-03-16T01:24:20+00:00
950903,Enter,2024-03-15T06:42:19+00:00
950903,Exit,2024-03-15T10:43:19+00:00
563535,Enter,2024-03-15T07:21:39+00:00
563535,Exit,2024-03-15T12:06:39+00:00
222534,Enter,2024-03-15T02:56:13+00:00
222534,Exit,2024-03-15T03:47:13+00:00
906586,Enter,2024-03-15T06:42:04+00:00
906586,Exit,2024-03-15T09:39:04+00:00
440316,Enter,2024-03-15T13:19:23+00:00
440316,Exit,2024-03-15T17:16:23+00:00
304348,Enter,2024-03-15T11:52:50+00:00
304348,Exit,2024-03-15T15:28:50+00:00
480419,Enter,2024-03-15T20:32:38+00:00
480419,Exit,2024-03-16T01:29:38+00:00
144910,Enter,2024-03-15T20:58:16+00:00
144910,Exit,2024-03-15T23:49:16+00:00
922467,Enter,2024-03-15T08:12:06+00:00
922467,Exit,2024-03-15T10:34:06+00:00
381720,Enter,2024-03-15T04:35:15+00:00
381720,Exit,2024-03-15T06:11:15+00:00
491067,Enter,2024-03-15T13:50:25+00:00
491067,Exit,2024-03-15T18:39:25+00:00
585765,Enter,2024-03-15T01:03:57+00:00
585765,Exit,2024-03-15T04:48:57+00:00
129616,Enter,2024-03-15T01:20:06+00:00
129616,Exit,2024-03-15T04:34:06+00:00
914305,Enter,2024-03-15T23:55:54+00:00
914305,Exit,2024-03-16T01:26:54+00:00
194831,Enter,2024-03-15T05:52:49+00:00
194831,Exit,2024-03-15T07:16:49+00:00
107069,Enter,2024-03-15T13:03:06+00:00
107069,Exit,2024-03-15T16:34:06+00:00
987114,Enter,2024-03-15T11:25:13+00:00
987114,Exit,2024-03-15T12:25:13+00:00
927136,Enter,2024-03-15T10:42:17+00:00
927136,Exit,2024-03-15T12:21:17+00:00
446625,Enter,2024-03-15T16:27:57+00:00
446625,Exit,2024-03-15T20:55:57+00:00
980630,Enter,2024-03-15T23:58:05+00:00
980630,Exit,2024-03-16T04:17:05+00:00
546223,Enter,2024-03-15T17:49:25+00:00
546223,Exit,2024-03-15T20:36:25+00:00
522206,Enter,2024-03-15T17:40:11+00:00
522206,Exit,2024-03-15T21:53:11+00:00
727807,Enter,2024-03-15T20:02:33+00:00
727807,Exit,2024-03-15T21:05:33+00:00
384247,Enter,2024-03-15T18:39:22+00:00
384247,Exit,2024-03-15T20:42:22+00:00
848096,Enter,2024-03-15T06:34:40+00:00
848096,Exit,2024-03-15T09:08:40+00:00
191919,Enter,2024-03-15T15:44:41+00:00
191919,Exit,2024-03-15T18:21:41+00:00
783794,Enter,2024-03-15T16:03:45+00:00
783794,Exit,2024-03-15T20:34:45+00:00
817661,Enter,2024-03-15T19:38:54+00:00
817661,Exit,2024-03-15T21:09:54+00:00
822798,Enter,2024-03-15T01:00:02+00:00
822798,Exit,2024-03-15T02:59:02+00:00
633051,Enter,2024-03-15T18:53:31+00:00
633051,Exit,2024-03-15T20:33:31+00:00
752696,Enter,2024-03-15T23:05:06+00:00
752696,Exit,2024-03-16T01:16:06+00:00
870636,Enter,2024-03-15T01:20:43+00:00
870636,Exit,2024-03-15T05:09:43+00:00
769624,Enter,2024-03-15T01:50:46+00:00
769624,Exit,2024-03-15T03:29:46+00:00
433600,Enter,2024-03-15T00:40:55+00:00
433600,Exit,2024-03-15T04:14:55+00:00
190543,Enter,2024-03-15T05:07:00+00:00
190543,Exit,2024-03-15T06:30:00+00:00
168212,Enter,2024-03-15T00:07:19+00:00
168212,Exit,2024-03-15T03:30:19+00:00
287000,Enter,2024-03-15T18:39:15+00:00
287000,Exit,2024-03-15T22:14:15+00:00
231361,Enter,2024-03-15T08:40:26+00:00
231361,Exit,2024-03-15T11:30:26+00:00
418888,Enter,2024-03-15T09:24:24+00:00
418888,Exit,2024-03-15T10:58:24+00:00
544947,Enter,2024-03-15T11:01:01+00:00
544947,Exit,2024-03-15T12:33:01+00:00
417238,Enter,2024-03-15T07:30:37+00:00
417238,Exit,2024-03-15T08:08:37+00:00
714355,Enter,2024-03-15T17:28:17+00:00
714355,Exit,2024-03-15T20:52:17+00:00
063778,Enter,2024-03-15T06:18:15+00:00
063778,Exit,2024-03-15T09:17:15+00:00
051337,Enter,2024-03-15T22:53:19+00:00
051337,Exit,2024-03-16T00:40:19+00:00
651596,Enter,2024-03-15T16:10:42+00:00
651596,Exit,2024-03-15T19:11:42+00:00
043239,Enter,2024-03-15T04:31:12+00:00
043239,Exit,2024-03-15T09:20:12+00:00
240834,Enter,2024-03-15T01:26:15+00:00
240834,Exit,2024-03-15T04:52:15+00:00
590266,Enter,2024-03-15T14:17:04+00:00
590266,Exit,2024-03-15T18:57:04+00:00
129593,Enter,2024-03-15T19:50:00+00:00
129593,Exit,2024-03-15T21:00:00+00:00
910778,Enter,2024-03-15T15:34:28+00:00
910778,Exit,2024-03-15T17:59:28+00:00
985690,Enter,2024-03-15T22:00:26+00:00
985690,Exit,2024-03-16T00:43:26+00:00
198821,Enter,2024-03-15T07:51:26+00:00
198821,Exit,2024-03-15T10:49:26+00:00
264040,Enter,2024-03-15T17:06:21+00:00
264040,Exit,2024-03-15T21:19:21+00:00
170343,Enter,2024-03-15T07:19:42+00:00
170343,Exit,2024-03-15T10:51:42+00:00
111938,Enter,2024-03-15T15:47:46+00:00
111938,Exit,2024-03-15T19:18:46+00:00
521393,Enter,2024-03-15T23:31:59+00:00
521393,Exit,2024-03-16T02:40:59+00:00
190836,Enter,2024-03-15T02:11:57+00:00
190836,Exit,2024-03-15T04:10:57+00:00
414979,Enter,2024-03-15T05:31:59+00:00
414979,Exit,2024-03-15T06:20:59+00:00
437646,Enter,2024-03-15T12:26:27+00:00
437646,Exit,2024-03-15T14:40:27+00:00
070435,Enter,2024-03-15T07:24:12+00:00
070435,Exit,2024-03-15T11:17:12+00:00
792234,Enter,2024-03-15T04:15:03+00:00
792234,Exit,2024-03-15T08:30:03+00:00
577720,Enter,2024-03-15T03:52:02+00:00
577720,Exit,2024-03-15T06:15:02+00:00
331843,Enter,2024-03-15T22:00:07+00:00
331843,Exit,2024-03-16T01:28:07+00:00
508908,Enter,2024-03-15T20:42:23+00:00
508908,Exit,2024-03-15T23:29:23+00:00
867730,Enter,2024-03-15T10:06:53+00:00
867730,Exit,2024-03-15T11:00:53+00:00
741350,Enter,2024-03-15T20:31:47+00:00
741350,Exit,2024-03-15T22:23:47+00:00
929666,Enter,2024-03-15T11:44:01+00:00
929666,Exit,2024-03-15T14:53:01+00:00
677935,Enter,2024-03-15T09:08:27+00:00
677935,Exit,2024-03-15T13:33:27+00:00
442795,Enter,2024-03-15T10:45:57+00:00
442795,Exit,2024-03-15T14:34:57+00:00
712262,Enter,2024-03-15T15:53:16+00:00
712262,Exit,2024-03-15T19:48:16+00:00
415676,Enter,2024-03-15T17:38:03+00:00
415676,Exit,2024-03-15T18:23:03+00:00
139415,Enter,2024-03-15T18:40:23+00:00
139415,Exit,2024-03-15T23:39:23+00:00
753694,Enter,2024-03-15T05:07:45+00:00
753694,Exit,2024-03-15T09:06:45+00:00
445346,Enter,2024-03-15T18:00:43+00:00
445346,Exit,2024-03-15T20:51:43+00:00
109824,Enter,2024-03-15T01:17:40+00:00
109824,Exit,2024-03-15T05:14:40+00:00
541812,Enter,2024-03-15T02:22:20+00:00
541812,Exit,2024-03-15T05:49:20+00:00
639227,Enter,2024-03-15T11:08:14+00:00
639227,Exit,2024-03-15T11:50:14+00:00
165134,Enter,2024-03-15T01:54:18+00:00
165134,Exit,2024-03-15T02:48:18+00:00
200523,Enter,2024-03-15T15:46:08+00:00
200523,Exit,2024-03-15T18:06:08+00:00
611335,Enter,2024-03-15T21:24:08+00:00
611335,Exit,2024-03-15T23:00:08+00:00
952634,Enter,2024-03-15T05:26:28+00:00
952634,Exit,2024-03-15T08:59:28+00:00
171709,Enter,2024-03-15T18:06:33+00:00
171709,Exit,2024-03-15T18:44:33+00:00
945292,Enter,2024-03-15T13:49:21+00:00
945292,Exit,2024-03-15T18:17:21+00:00
658629,Enter,2024-03-15T23:53:09+00:00
658629,Exit,2024-03-16T03:36:09+00:00
847817,Enter,2024-03-15T12:26:42+00:00
